user_id,offering_id,cleanliness,location,rooms,service,value,overall
739.0,1745.0,4.993833065032959,4.924412250518799,5.0,4.9798383712768555,4.939619541168213,4.993833065032959
209.0,551.0,4.369022369384766,5.0,3.4927377700805664,4.238542556762695,3.9098734855651855,4.369022369384766
4.0,581.0,5.0,4.913080215454102,4.889501094818115,4.969709873199463,4.818617820739746,5.0
63.0,860.0,4.870584964752197,4.830110549926758,4.7764482498168945,4.830874443054199,4.7035651206970215,4.870584964752197
686.0,1928.0,4.92856502532959,5.0,4.424906253814697,4.840092182159424,4.572153091430664,4.92856502532959
586.0,127.0,5.0,4.854563236236572,5.0,5.0,5.0,5.0
139.0,312.0,3.975377082824707,3.977492094039917,3.7686171531677246,3.907200336456299,3.698763132095337,3.975377082824707
470.0,311.0,4.956290245056152,4.920260429382324,4.591835975646973,4.879308700561523,4.616358280181885,4.956290245056152
47.0,1151.0,4.357483863830566,4.967028617858887,3.9658679962158203,4.286752700805664,4.1355814933776855,4.357483863830566
518.0,1668.0,5.0,5.0,4.876218318939209,5.0,4.85500955581665,5.0
359.0,1633.0,5.0,4.998762607574463,5.0,5.0,4.9909868240356445,5.0
857.0,500.0,4.89498233795166,5.0,4.526244640350342,4.820905685424805,4.587653636932373,4.89498233795166
27.0,321.0,5.0,5.0,5.0,5.0,5.0,5.0
829.0,1888.0,5.0,4.988045692443848,4.8553314208984375,5.0,4.820980548858643,5.0
345.0,1226.0,5.0,5.0,4.879014015197754,5.0,4.960710048675537,5.0
740.0,498.0,4.6662373542785645,5.0,4.268865585327148,4.59197998046875,4.3923420906066895,4.6662373542785645
288.0,1306.0,3.7638959884643555,4.2691569328308105,3.309051513671875,3.67197847366333,3.44262433052063,3.7638959884643555
120.0,1701.0,2.3947596549987793,3.3094680309295654,1.967555284500122,2.2981903553009033,2.126868963241577,2.3947596549987793
310.0,1651.0,5.0,5.0,5.0,5.0,5.0,5.0
561.0,89.0,5.0,4.9902238845825195,5.0,5.0,5.0,5.0
673.0,159.0,5.0,5.0,5.0,5.0,4.943300247192383,5.0
479.0,277.0,2.5083699226379395,3.8941822052001953,2.0422182083129883,2.4219934940338135,2.3424205780029297,2.5083699226379395
94.0,1734.0,5.0,5.0,4.760356903076172,4.990868091583252,4.766247272491455,5.0
549.0,417.0,2.8828258514404297,4.5402421951293945,2.1870381832122803,2.7773566246032715,2.6548075675964355,2.8828258514404297
59.0,214.0,4.771821022033691,4.836882591247559,4.301902770996094,4.679947376251221,4.378859043121338,4.771821022033691
538.0,999.0,5.0,5.0,5.0,5.0,5.0,5.0
546.0,1570.0,4.929477214813232,4.930111408233643,4.941711902618408,4.907118320465088,4.846362113952637,4.929477214813232
323.0,795.0,4.810198783874512,4.785226821899414,4.917752742767334,4.798912048339844,4.7772417068481445,4.810198783874512
860.0,79.0,2.798738956451416,3.069995403289795,2.547203779220581,2.714285135269165,2.5013625621795654,2.798738956451416
474.0,1629.0,3.6649179458618164,4.284482002258301,3.2094738483428955,3.574817180633545,3.367687940597534,3.6649179458618164
793.0,1919.0,4.247824668884277,4.28509521484375,4.114309310913086,4.19532585144043,4.0427350997924805,4.247824668884277
194.0,1419.0,5.0,4.848264217376709,5.0,4.970915794372559,4.998013973236084,5.0
686.0,1661.0,4.554848670959473,4.449251651763916,4.2696919441223145,4.481044769287109,4.228556156158447,4.554848670959473
